seed,no_pillar,pillar_y,readout,stim,n_read_left,n_read_right,turn_deg,path_mm,dx_mm,dy_mm,dark_left_mean,dark_right_mean,dark_left_max,dark_right_max,cmd_left_mean,cmd_right_mean,cmd_asym_mean,corr_dark_cmd,corr_dark_cmd_lag1,dist_min_mm,dist_end_mm,elapsed_s,condition
6,False,3.0,population,visual,116,114,-70.23383072293164,14.416707267318992,12.629784914643258,-6.951976800983866,0.26401997852604836,0.0,0.8099879622459412,0.0,0.8843269570910622,0.6116346829593976,0.27269227413166464,0.7226539745292937,0.7439073299295119,4.004616759623225,10.54110984243796,39.59464290999995,столб слева
7,False,3.0,population,visual,116,114,-40.58375587350247,16.10282057666304,15.1248888282756,-5.526171229387171,0.29090340688824656,0.059065557515714316,0.8958905339241028,0.11562590301036835,0.8703589400872426,0.6993035253620903,0.17105541472515212,0.7174201666569866,0.7375135860429598,3.880379810253431,10.423458038899167,39.6498312990002,столб слева
0,False,-3.0,population,visual,116,114,40.9173812738546,15.501610839431612,14.232738068620739,6.142402273314376,0.04005969324847683,0.20940458919852972,0.08908918499946594,0.6259362697601318,0.6761190103640243,0.8549373199255137,-0.17881830956148967,0.7188743902034149,0.7469215487376341,4.831275001729496,10.874796382589716,39.427613445999896,столб справа
1,False,-3.0,population,visual,116,114,73.72870245023091,14.344805008792395,12.524163204483923,6.9941952194463655,0.0,0.2459056866914034,0.0,0.8021813631057739,0.6056286817519789,0.896171909309198,-0.2905432275572192,0.7511926880439825,0.7720758913347158,3.7025727405860023,10.364636580267584,40.890271398000095,столб справа
2,False,-3.0,population,visual,116,114,71.50740990819247,15.375827927318989,14.840786100655437,4.020839758696551,0.04732790068723261,0.44543278955854476,0.20386338233947754,1.0,0.6654072028804557,0.9271738573601573,-0.2617666544797016,0.6059047543059362,0.6371319524148759,1.4644208908549823,8.487164502412778,39.682492194999895,столб справа
3,False,-3.0,population,visual,116,114,34.3159744801948,15.851108230325833,14.803229910483786,5.667628811669089,0.05935334549285472,0.21573612244101242,0.11125577986240387,0.6827498078346252,0.6922743506533948,0.8515324472262235,-0.15925809657282863,0.7295659337630481,0.7579041007348761,4.369434247517322,10.590003073386299,40.19494700900009,столб справа
4,False,-3.0,population,visual,116,114,69.96469274312898,14.630655908993226,12.299914232166312,7.922638588797992,0.0,0.2590650659613311,0.0,0.7929059267044067,0.6117700099990787,0.8944592651418941,-0.2826892551428152,0.7195932565055257,0.7399703096432567,4.027995503776586,11.07371776992609,40.18644452300009,столб справа
5,False,-3.0,population,visual,116,114,50.54894962993674,15.4633327407123,13.343010380908522,7.815288441570944,0.03248646232532337,0.19067793518304824,0.07778124511241913,0.5604661107063293,0.6624209225475696,0.8750586663599397,-0.21263774381237024,0.7326092517843045,0.7725766858629722,5.252920938478726,12.233802631183297,39.200491106999834,столб справа
6,False,-3.0,population,visual,116,114,45.56037201168556,15.633283590793326,13.706594609632813,7.518565025146261,0.04077973710751394,0.1926388588361442,0.08863219618797302,0.5981625318527222,0.6643381527374659,0.871503394759774,-0.20716524202230804,0.7316531756460927,0.7618405991944198,4.901275967350825,11.486788366880141,40.10530391299994,столб справа
7,False,-3.0,population,visual,116,114,66.2340576699566,14.589335689508394,12.426075447425145,7.644695208840007,0.0,0.24006596523337065,0.0,0.7335218191146851,0.6090285555434326,0.8844697087276282,-0.2754411531841959,0.7021885536252044,0.7291042057895387,4.41252262946838,11.046075417206191,40.429973290000135,столб справа
