root_id,flow,super_class,cell_class,cell_sub_class,cell_type,hemibrain_type,side,nerve,top_nt
720575940621700789,efferent,descending,,,DNg36_b,,left,CV,acetylcholine
720575940626571602,intrinsic,central,,,SMP168,SMP168,left,,acetylcholine
720575940622473292,intrinsic,central,,,CB0013,,left,,gaba
720575940617997396,intrinsic,central,,,CB0990,,left,,gaba
720575940633228172,efferent,descending,,,DNg48,,left,CV,acetylcholine
720575940625519091,intrinsic,central,,,CB0991,,left,,acetylcholine
720575940637612974,efferent,descending,,,DNge105,,left,CV,acetylcholine
720575940659340673,intrinsic,central,,,CB0698,,left,,gaba
720575940618519454,efferent,descending,,,DNge025,,left,CV,acetylcholine
720575940625872688,efferent,descending,,,DNg12_a,,left,CV,acetylcholine
720575940622368792,intrinsic,central,ALPN,uniglomerular,DL1_adPN,DL1_adPN,left,,acetylcholine
720575940625971204,intrinsic,visual_projection,,,LC9,LC9,right,,acetylcholine
720575940628181520,intrinsic,central,ALPN,uniglomerular,DL2v_adPN,DL2v_adPN,left,,acetylcholine
720575940616941201,intrinsic,central,,,AVLP434_a,AVLP434_a,right,,acetylcholine
720575940619410671,intrinsic,visual_projection,,,LC9,LC9,right,,acetylcholine
720575940639175869,intrinsic,central,,,LHAV2g3,LHAV2g3,right,,acetylcholine
720575940626840368,intrinsic,central,,,CB0992,,right,,serotonin
720575940620681837,intrinsic,central,DAN,,PAM14,PAM14,left,,dopamine
720575940609414468,intrinsic,central,DAN,,PAM04,PAM04,left,,dopamine
720575940620609739,intrinsic,visual_centrifugal,,,mALC5,mALC5,left,,gaba
720575940625949212,intrinsic,central,,,SMP413,SMP413,left,,acetylcholine
720575940620156283,efferent,descending,,,DNp30,DSKMP1A,left,CV,serotonin
720575940605307936,intrinsic,central,,,SMP408_d,SMP408_d,left,,acetylcholine
720575940640039040,intrinsic,central,CX,tangential,FB4M,FB4M,left,,dopamine
720575940630349583,intrinsic,central,,,CB0624,"hb5812982885,hb5901225755",left,,acetylcholine
720575940611812835,intrinsic,central,Kenyon_Cell,,KCapbp-ap1,KCa'b'-ap1,left,,dopamine
720575940612869269,intrinsic,central,CX,,ExR1,ExR1,left,,gaba
720575940637798771,intrinsic,central,,,CB0993,,right,,glutamate
720575940620482182,intrinsic,central,,,CB0994,,right,,acetylcholine
720575940605073342,intrinsic,central,,,SMP526,SMP526,left,,acetylcholine
720575940623807932,intrinsic,central,CX,columnar,FC1D,FC1D,left,,acetylcholine
720575940612327446,intrinsic,central,CX,columnar,vDeltaD,vDeltaD,left,,acetylcholine
720575940621588139,intrinsic,central,,,AVLP477,AVLP477,left,,acetylcholine
720575940625576080,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCa'b'-m,left,,dopamine
720575940622321251,intrinsic,central,Kenyon_Cell,,KCapbp-m,KCa'b'-m,left,,dopamine
720575940621956317,intrinsic,central,CX,columnar,FS3,FS3,left,,acetylcholine
720575940610290162,intrinsic,central,,,SMP330a,SMP330,left,,acetylcholine
720575940623959477,intrinsic,visual_projection,,,LC10d,LC10,right,,acetylcholine
720575940624243006,intrinsic,visual_projection,,,LC10d,LC10,right,,acetylcholine
720575940624649964,intrinsic,central,,,CB0996,,right,,acetylcholine
720575940633502618,intrinsic,central,,,SLP223,SLP223,right,,acetylcholine
720575940620382400,intrinsic,central,,,CB0997,LHAV2a2,right,,acetylcholine
720575940633688476,intrinsic,central,DAN,,PAM04,PAM04,left,,dopamine
720575940628226697,intrinsic,visual_projection,bilateral,,MeMe_e04,,right,,glutamate
720575940626366748,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,left,,dopamine
720575940615904802,intrinsic,central,,,SMP331a,SMP331,left,,acetylcholine
720575940626191108,intrinsic,central,Kenyon_Cell,KCab,KCab,KCab-c,left,,dopamine
720575940620544182,intrinsic,central,Kenyon_Cell,KCab,KCab,KCab-m,left,,dopamine
720575940604518944,intrinsic,central,CX,,PFNp,PFNp,left,,acetylcholine
720575940630410321,intrinsic,central,CX,,PFNp,PFNp,left,,acetylcholine
720575940616287377,intrinsic,central,CX,,PFNp,PFNp,left,,acetylcholine
720575940614640031,intrinsic,central,,,CB0998,,left,,acetylcholine
720575940630564712,intrinsic,central,,,CB0999,SLP187,right,,gaba
720575940606810057,intrinsic,central,,,LHAV1d2,LHAV1d2,right,,acetylcholine
720575940634523255,intrinsic,central,,,CB1000,,right,,acetylcholine
720575940629232322,intrinsic,central,,,CB1001,"SIP074,SIP075",left,,acetylcholine
720575940648804217,efferent,motor,brain_motor_neuron,ingestion_motor_neuron,MNx03,,left,PhN,acetylcholine
720575940622273868,intrinsic,central,,,CB0699,,left,,glutamate
720575940625604098,intrinsic,central,CX,tangential,FB2C,FB2C,left,,glutamate
720575940640681680,efferent,motor,brain_motor_neuron,crop_motor_neuron,CEM,,left,PhN,acetylcholine
720575940618165019,efferent,motor,brain_motor_neuron,ingestion_motor_neuron,CB0700,,left,PhN,acetylcholine
720575940632790753,intrinsic,central,,,CB1002,AVLP003,right,,gaba
720575940632832301,intrinsic,central,,,CB1003,LHAV4e1_b,right,,gaba
720575940614525078,intrinsic,central,,,LHAD1d1,LHAD1d1,right,,acetylcholine
720575940639806296,intrinsic,central,,,AVLP022,AVLP022,right,,glutamate
720575940630006735,intrinsic,central,,,CB1005,AVLP065,right,,glutamate
720575940628820823,intrinsic,central,,,CB1006,,right,,glutamate
720575940612921325,intrinsic,central,,,CB1007,,left,,glutamate
720575940624801771,efferent,descending,,,DNpe040,CL320,left,CV,acetylcholine
720575940615682955,intrinsic,central,CX,,PFNp,PFNp,left,,acetylcholine
720575940618774352,intrinsic,central,CX,,PFNm,PFNm,left,,acetylcholine
720575940623320649,intrinsic,central,,,CB1008,,left,,acetylcholine
720575940620201084,intrinsic,central,,,CB1009,,left,,acetylcholine
720575940615792523,intrinsic,central,,,CB0015,,left,,glutamate
720575940632879842,intrinsic,central,TPN,water_PN,BiT,,left,,serotonin
720575940628456553,intrinsic,central,,,PS090a,PS090,left,,gaba
720575940627946795,intrinsic,central,,,CB1010,,left,,glutamate
720575940616098644,intrinsic,central,,,CB1008,,left,,acetylcholine
720575940623861479,intrinsic,central,CX,tangential,"FB1I,FB1J","FB1I,FB1J",left,,glutamate
720575940622224553,intrinsic,central,,,CL121_a,CL121,left,,gaba
720575940620926155,intrinsic,central,,DN3,CB1011,,right,,glutamate
720575940633485207,intrinsic,central,,,LHPV5g1_b,LHPV5g1_b,right,,acetylcholine
720575940650798582,intrinsic,central,,,WED165,WED165,left,,acetylcholine
720575940619895125,intrinsic,central,ALPN,uniglomerular,VP2_adPN,VP2_adPN,left,,acetylcholine
720575940625784153,intrinsic,central,ALPN,uniglomerular,VA7l_adPN,VA7l_adPN,left,,acetylcholine
720575940633070732,intrinsic,visual_centrifugal,,,cL02a,,left,,glutamate
720575940611102577,intrinsic,central,,,CB1012,,left,,glutamate
720575940641773472,intrinsic,central,ALLN,,v2LN39a,,left,,glutamate
720575940622491632,intrinsic,central,ALLN,,vLN26,vLN26,left,,glutamate
720575940606045314,intrinsic,central,ALLN,,CB1013,,left,,glutamate
720575940632575584,intrinsic,central,,DN1p,SMP530,SMP530,right,,glutamate
720575940621947653,efferent,descending,,,DNg64,,right,CV,gaba
720575940616210333,intrinsic,central,,,SLP465b,SLP465,right,,acetylcholine
720575940632687770,intrinsic,central,,,CB1014,PS033,right,,acetylcholine
720575940610604078,efferent,descending,,,DNge136,,right,CV,gaba
720575940620300308,efferent,descending,,,DNg97,,right,CV,acetylcholine
720575940620926740,efferent,endocrine,pars_lateralis,lateral_NSC,lNSC_unknown,DNES1,right,NCC,glutamate
720575940622697196,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,right,,dopamine
720575940624862339,intrinsic,central,,,"CL166,CL168","CL166,CL168",right,,acetylcholine
720575940638925877,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,right,,dopamine
720575940630286136,intrinsic,central,,,CB1016,LHPD5e1,right,,acetylcholine
720575940612754582,intrinsic,central,Kenyon_Cell,KCg,KCg-m,KCg-m,right,,dopamine
