cycle,t_sec,contact_l0,contact_l1,contact_l2,contact_r0,contact_r1,contact_r2,n_contacts,fb_rate_left_hz,fb_rate_right_hz,p9_spikes_left,p9_spikes_right,p9_left_hz,p9_right_hz,p9_left_hz_ema,p9_right_hz_ema,cmd_left,cmd_right,thorax_x_mm,thorax_y_mm,thorax_z_mm,cpg_phase_0,cpg_phase_3,perturbed,heading_deg
96,1.44,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,2.3,153.89,0.0128,0.8549,14.3318,2.8815,1.0578,4.9507,1.8091,1,51.71
97,1.455,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,1.98,151.02,0.011,0.839,14.2761,2.961,1.1528,6.0816,2.94,1,55.67
98,1.47,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,1.71,148.56,0.0095,0.8253,14.3257,3.1509,1.149,0.9294,4.071,1,57.23
99,1.485,1,1,1,1,0,1,5,20.0,140.0,0,3,0.0,200.0,1.47,155.73,0.0082,0.8651,14.3964,3.2798,1.1116,2.0604,5.202,1,58.48
100,1.5,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,1.26,152.61,0.007,0.8478,14.4711,3.2775,1.0131,3.1914,0.0498,1,57.73
101,1.515,1,1,1,1,1,0,5,20.0,140.0,0,3,0.0,200.0,1.09,159.21,0.006,0.8845,14.5356,3.257,0.9511,4.3223,1.1808,1,60.6
102,1.53,1,1,1,0,1,1,5,20.0,140.0,0,1,0.0,66.7,0.94,146.32,0.0052,0.8129,14.415,3.3394,1.1105,5.4533,2.3117,1,65.95
103,1.545,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.81,144.51,0.0045,0.8028,14.3928,3.4447,1.1245,0.3011,3.4427,1,67.52
104,1.56,1,1,1,1,0,1,5,20.0,140.0,0,3,0.0,200.0,0.69,152.24,0.0039,0.8458,14.4043,3.6847,1.126,1.4321,4.5737,1,70.86
105,1.575,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,0.6,149.61,0.0033,0.8311,14.4529,3.727,1.0804,2.5631,5.7046,1,70.78
106,1.59,1,1,1,1,0,1,5,20.0,140.0,0,3,0.0,200.0,0.51,156.62,0.0029,0.8701,14.4926,3.7292,0.9943,3.694,0.5524,1,74.46
107,1.605,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.44,153.38,0.0025,0.8521,14.4813,3.7804,1.0173,4.825,1.6834,1,76.97
108,1.62,1,1,1,0,1,1,5,20.0,140.0,0,3,0.0,200.0,0.38,159.87,0.0021,0.8882,14.386,3.8257,1.1507,5.956,2.8144,1,81.62
109,1.635,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.33,156.18,0.0018,0.8677,14.3336,4.0179,1.14,0.8038,3.9454,1,82.93
110,1.65,1,1,1,1,0,1,5,20.0,140.0,0,3,0.0,200.0,0.28,162.28,0.0016,0.9016,14.3286,4.1874,1.1113,1.9347,5.0763,1,85.56
111,1.665,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,0.24,158.25,0.0013,0.8792,14.3983,4.2158,1.0208,3.0657,6.2073,1,84.93
112,1.68,1,1,1,1,1,1,6,20.0,200.0,0,3,0.0,200.0,0.21,164.06,0.0012,0.9115,14.4655,4.2292,0.9458,4.1967,1.0551,1,88.96
113,1.695,1,1,1,0,1,0,4,20.0,80.0,0,2,0.0,133.3,0.18,159.78,0.001,0.8877,14.3149,4.239,1.1064,5.3277,2.1861,1,93.69
114,1.71,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.15,156.1,0.0009,0.8672,14.2438,4.296,1.1558,0.1754,3.317,1,95.9
115,1.725,0,1,1,0,0,1,3,20.0,80.0,0,3,0.0,200.0,0.13,162.21,0.0007,0.9012,14.135,4.5288,1.1332,1.3064,4.448,1,98.95
116,1.74,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,0.11,158.19,0.0006,0.8788,14.1411,4.6115,1.0843,2.4374,5.579,1,99.19
117,1.755,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,0.1,154.73,0.0005,0.8596,14.1786,4.6386,0.9949,3.5684,0.4268,1,102.02
118,1.77,1,1,1,0,1,0,4,20.0,80.0,0,2,0.0,133.3,0.08,151.75,0.0005,0.843,14.1739,4.6899,0.9678,4.6993,1.5577,1,104.73
119,1.785,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.07,149.18,0.0004,0.8288,14.0633,4.6719,1.123,5.8303,2.6887,1,109.66
120,1.8,1,1,1,0,1,1,5,20.0,140.0,0,3,0.0,200.0,0.06,156.26,0.0003,0.8681,13.9523,4.7946,1.1065,0.6781,3.8197,1,110.91
121,1.815,0,1,1,1,0,1,4,20.0,140.0,0,2,0.0,133.3,0.05,153.07,0.0003,0.8504,13.8417,4.9458,1.0997,1.8091,4.9507,1,114.12
122,1.83,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,0.05,150.32,0.0003,0.8351,13.8885,4.9987,1.0247,2.94,6.0816,1,113.39
123,1.845,1,1,1,1,1,1,6,20.0,200.0,0,2,0.0,133.3,0.04,147.95,0.0002,0.822,13.9418,5.0435,0.9231,4.071,0.9294,1,116.86
124,1.86,1,1,1,0,1,1,5,20.0,140.0,0,2,0.0,133.3,0.03,145.92,0.0002,0.8106,13.8231,4.9944,1.0816,5.202,2.0604,1,120.93
125,1.875,1,1,1,0,1,1,5,20.0,140.0,0,3,0.0,200.0,0.03,153.45,0.0002,0.8525,13.7447,4.9894,1.145,0.0498,3.1914,1,123.77
126,1.89,0,1,0,0,0,1,2,20.0,80.0,0,2,0.0,133.3,0.03,150.65,0.0001,0.8369,13.5788,5.129,1.1301,1.1808,4.3223,1,125.8
127,1.905,1,1,1,1,0,1,5,20.0,140.0,0,2,0.0,133.3,0.02,148.24,0.0001,0.8235,13.5199,5.2149,1.0849,2.3117,5.4533,1,126.18
128,1.92,1,1,1,1,1,1,6,20.0,200.0,0,3,0.0,200.0,0.02,155.45,0.0001,0.8636,13.5522,5.2701,0.9846,3.4427,0.3011,1,126.95
