seed,no_pillar,pillar_y,readout,stim,spatial,n_strips,n_read_left,n_read_right,turn_deg,path_mm,dx_mm,dy_mm,dark_left_mean,dark_right_mean,dark_left_max,dark_right_max,cmd_left_mean,cmd_right_mean,cmd_asym_mean,corr_dark_cmd,corr_dark_cmd_lag1,dist_min_mm,dist_end_mm,elapsed_s,condition,scene,input
1,False,2.0,population,visual,True,4,116,114,-56.07061004330927,15.48391189703805,12.801863106923456,-8.709984421732829,0.26490752179175614,0.026135477118659763,0.6493949294090271,0.20091992616653442,0.8979941944347651,0.6683603946292109,0.2296337998055539,0.6771569347488243,0.7151703876305562,3.484915555725502,12.361157310497669,230.4763871069881,A2: спереди-слева,A2,пространственный
2,False,2.0,population,visual,True,4,116,114,-25.237948451026654,16.99573327287566,14.217927397053288,-9.311578277330561,0.2162855540541932,0.07584307591663673,0.5,0.11938667297363281,0.8850124584196641,0.7441715853443214,0.14084087307534277,0.878703956538297,0.8940248250640132,4.690401707683106,13.68316530336465,221.83075790099974,A2: спереди-слева,A2,пространственный
3,False,2.0,population,visual,True,4,116,114,-66.59731617170276,15.737531735418445,13.67453852032651,-7.789537943896872,0.3100882412865758,0.026163004632107915,0.75,0.209865003824234,0.938206257281194,0.6666696401588171,0.27153661712237687,0.7050311651683555,0.7338700784468087,2.323354066665774,11.504394317344053,211.25994495699706,A2: спереди-слева,A2,пространственный
4,False,2.0,population,visual,True,4,116,114,-27.459375413426898,16.69932332589393,15.717337882091332,-5.642046565114635,0.24183832958049606,0.07159346604719757,0.75,0.1234745979309082,0.8673941420720434,0.7409477762498056,0.1264463658222379,0.7256069371465829,0.7585381973150197,2.8569724940655723,11.918288888014,223.0617480679939,A2: спереди-слева,A2,пространственный
5,False,2.0,population,visual,True,4,116,114,-36.96969613036106,16.680228276456052,15.964563792487251,-4.833499588319956,0.30724638763813344,0.05751975892839255,1.0,0.28737950325012207,0.8981869944446036,0.7273495776352544,0.1708374168093493,0.7222627730931793,0.7524860378727154,1.3813255823934638,11.037213216515926,211.55650167900603,A2: спереди-слева,A2,пространственный
6,False,2.0,population,visual,True,4,116,114,-53.367098126753035,16.00445990319198,14.460812549853502,-6.857669953481232,0.2793554355041124,0.04119792566169053,0.75,0.0794166773557663,0.9096451128363561,0.6853948840355474,0.2242502288008087,0.6937965729055855,0.7215381072182723,2.5227038888997737,11.503607825380607,220.0352032729861,A2: спереди-слева,A2,пространственный
7,False,2.0,population,visual,True,4,116,114,-31.015364528863046,16.929451504265497,15.981864183560605,-5.584473605766258,0.2628697313464363,0.07542504170909524,0.75,0.1746729165315628,0.8833065028410448,0.7414174067819065,0.14188909605913833,0.7357787883644314,0.7721651310130833,2.52073059521442,11.628218222561165,226.1116342000023,A2: спереди-слева,A2,пространственный
0,False,10.0,population,visual,True,4,116,114,-21.56078836224134,15.91338619348728,15.635432464230597,-2.9612686132054185,0.1077148867584765,0.03066716278612148,0.25,0.07400796562433243,0.8047634284765718,0.6938529121890411,0.11091051628753065,0.7903468372170666,0.8326476713411793,9.36499075236911,20.30581215783534,224.23541173199192,B2: сбоку-слева,B2,пространственный
1,False,10.0,population,visual,True,4,116,114,-11.162050830038652,14.96288765474134,14.297981625700473,-4.410864813111198,0.07258147776243278,0.016793527025729418,0.24854770302772522,0.20091992616653442,0.7448711242711629,0.6670629012616084,0.0778082230095546,0.6899037001883984,0.7493549470185232,10.27419235851,21.138687613126816,222.28277294899453,B2: сбоку-слева,B2,пространственный
2,False,10.0,population,visual,True,4,116,114,12.725145782852962,15.67657605456674,15.199631450353543,-3.8374784127130566,0.05502675451338291,0.050988105500000526,0.23027744889259338,0.096525639295578,0.7259869454549411,0.7332399070503974,-0.007252961595456576,0.8424293387212093,0.8650902021884906,10.552478935582691,21.378805075055,221.00185657500697,B2: сбоку-слева,B2,пространственный
