seed,no_pillar,pillar_y,turn_deg,path_mm,dx_mm,dy_mm,dark_left_mean,dark_right_mean,dark_left_max,dark_right_max,cmd_left_mean,cmd_right_mean,cmd_asym_mean,corr_dark_cmd,corr_dark_cmd_lag1,dist_min_mm,dist_end_mm,elapsed_s,condition
5,False,3.0,-133.3891026635952,8.383827773098242,3.858385945268069,-7.4432134207163,0.31661188006401064,0.013612091895192862,0.9655938148498535,0.21705561876296997,0.951482294837707,0.48421135595427317,0.46727093888343363,0.7571061893645614,0.7901284121484562,3.5930662526513366,11.062574779737789,38.57613276699999,столб слева
6,False,3.0,-153.6348484244914,6.05342622905286,2.048252777686248,-5.696369867668856,0.08701019647996873,0.0,0.38899528980255127,0.0,0.8316706843192035,0.29692914744753207,0.5347415368716715,0.5761150719060832,0.6141604970696936,5.838692517851872,11.192183041313989,39.53261778000001,столб слева
7,False,3.0,-73.85219291429753,11.6991730349125,8.547887306945547,-7.9877576508418775,0.3131040162406862,0.06032393340719864,1.0,0.12470592558383942,0.8623105453813793,0.6511727034580693,0.2111378419233098,0.8004558983231416,0.8358662182449541,3.6024349119212844,11.078548787233643,38.816517862999945,столб слева
0,False,-3.0,83.89846720663797,12.91355374095686,7.484365405009392,10.52350439278093,0.053035827388521285,0.09336972792167217,0.10924272239208221,0.34593307971954346,0.5983318392767247,0.8921082386392548,-0.2937763993625299,0.3970050150192358,0.4704061351425779,6.311008292270004,14.300261599965856,38.474206041000116,столб справа
1,False,-3.0,70.98176032871316,12.227891007496265,10.108914007933866,6.879765698874233,0.0,0.03928472327534109,0.0,0.28829020261764526,0.4805996677744785,0.7535501573697992,-0.27295048959532076,0.5434402937146425,0.5759804298813526,6.800703076785864,9.72518343196305,39.04736741199986,столб справа
2,False,-3.0,-138.0362197670367,8.077450095899314,-3.5235072740084354,-7.268431504922743,0.0688016751036048,0.005473587252199649,0.2612411081790924,0.11001180112361908,0.8759521586750513,0.4108906869988087,0.4650614716762428,0.5898789779538216,0.6194134728406696,6.199662813885499,13.822790484411,38.71291070999996,столб справа
3,False,-3.0,31.875447551957308,15.405394743111264,12.234201844050066,9.36218416984638,0.05087570242350921,0.03999587972415611,0.11587142944335938,0.18371139466762543,0.6819058602105017,0.7971520824836966,-0.11524622227319518,0.3906874075169158,0.47215668495640745,7.064760375672501,13.036691922905453,38.56143750000001,столб справа
4,False,-3.0,125.53696089929127,11.247015813571227,3.40174153872868,10.720238766669755,0.0,0.044974730871617796,0.0,0.21246320009231567,0.45550777687441657,0.9114340499589049,-0.45592627308448824,0.38472882521929863,0.47676978205065895,6.843982441076705,14.465220551301087,38.77516387900005,столб справа
5,False,-3.0,47.84995171175939,12.633441734340025,7.375617478052865,10.256905813763007,0.037303593300748616,0.06852669370360673,0.10239972174167633,0.23073770105838776,0.5587078269063454,0.7196392485748625,-0.16093142166851734,0.4179815585846543,0.48088748839903195,7.355525381331935,13.887215547829168,38.56729444599978,столб справа
6,False,-3.0,80.41043153300376,14.405629055169042,8.000721282329687,11.97959128842079,0.04872341897716979,0.08446871038526296,0.10200430452823639,0.2990608513355255,0.614582206835961,0.9114811977544506,-0.2968989909184895,0.3005967895883039,0.3840507379463842,6.593598757925579,15.024881468975712,38.63541064299989,столб справа
7,False,-3.0,157.22533611719132,6.807813208879745,0.8090266949437557,6.759570732958263,0.0,0.09976113490760326,0.0,0.3926005959510803,0.37932135237743936,0.9425232781205588,-0.5632019257431197,0.517670533726931,0.5583926545099074,5.875506490833189,12.823204510522274,38.20512277800026,столб справа
