outer_cycle,time_sec,p9_spikes_left,p9_spikes_right,p9_rate_hz,cmd_signal,n_ground_contacts,pos_x_mm,pos_y_mm
81,1.215,0,6,200.0,1.0,3,0.0,0.0
82,1.23,0,7,233.3,1.0,3,0.0,0.0
83,1.245,0,6,200.0,1.0,3,0.0,0.0
84,1.26,0,7,233.3,1.0,3,0.0,0.0
85,1.275,0,7,233.3,1.0,3,0.0,0.0
86,1.29,0,6,200.0,1.0,4,0.0,0.0
87,1.305,0,7,233.3,1.0,4,0.0,0.0
88,1.32,0,6,200.0,1.0,3,0.0,0.0
89,1.335,0,7,233.3,1.0,2,0.0,0.0
90,1.35,0,6,200.0,1.0,3,0.0,0.0
91,1.365,0,7,233.3,1.0,4,0.0,0.0
92,1.38,0,6,200.0,1.0,3,0.0,0.0
93,1.395,0,7,233.3,1.0,3,0.0,0.0
94,1.41,0,6,200.0,1.0,3,0.0,0.0
95,1.425,0,7,233.3,1.0,4,0.0,0.0
96,1.44,0,6,200.0,1.0,3,0.0,0.0
97,1.455,0,7,233.3,1.0,3,0.0,0.0
98,1.47,0,6,200.0,1.0,4,0.0,0.0
99,1.485,0,7,233.3,1.0,3,0.0,0.0
